Nome,Tel,tipo,Endereço,Bairro,CEP,Lat,Long,Business Model,Categoria,Contrato,SuperRs,rating,numrating,uuid,Link
La Villa Mexicana,40030053.0,Comida Mexicana,Avenida João Carlos da Silva Borges,Vila Cruzeiro,4726002,-23.63471,-46.711848,Full Service,City Key Account,Não Exclusivo,True,4.539060115814209,127,3cae165d-5148-471c-8f54-7fb8f9a28716,https://www.ifood.com.br/delivery/sao-paulo-sp/la-villa-mexicana-vila-cruzeiro/3cae165d-5148-471c-8f54-7fb8f9a28716
Tacomex - Mexican Food,34562248.0,Comida Mexicana,Rua Tiquatira,Bosque da Saúde,4137110,-23.611329,-46.623961,Entrega+,Normal,Não Exclusivo,True,4.873740196228027,198,2c1ed6b1-b80d-4bd1-a833-65a3f6bbe25a,https://www.ifood.com.br/delivery/sao-paulo-sp/tacomex---mexican-food-bosque-da-saude/2c1ed6b1-b80d-4bd1-a833-65a3f6bbe25a
Tollocos,40030053.0,Comida Mexicana,Rua Augusta,CONSOLACAO,1304001,-23.556889,-46.65889,Full Service,Normal,Exclusivo,True,4.460000038146973,498,29f1b064-ebf4-4a47-9416-4dfe4aac5401,https://www.ifood.com.br/delivery/sao-paulo-sp/tollocos-consolacao/29f1b064-ebf4-4a47-9416-4dfe4aac5401
Casa Raízes - Cores e Sabores do México,946042808.0,Comida Mexicana,Rua Mourato Coelho,Pinheiros,5417002,-23.560401,-46.689569,Marketplace,Normal,Não Exclusivo,False,5.0,3,e72127cf-796d-43be-b3b4-dc909d7beebc,https://www.ifood.com.br/delivery/sao-paulo-sp/casa-raizes---cores-e-sabores-do-mexico-pinheiros/e72127cf-796d-43be-b3b4-dc909d7beebc
Master Taco,,Comida Mexicana,Rua Augusta,Consolação,1304900,-23.556625,-46.658983,Full Service,Normal,Exclusivo,True,4.537499904632568,80,33d045a9-3321-4f65-aa39-80b256cbac6f,https://www.ifood.com.br/delivery/sao-paulo-sp/master-taco-consolacao/33d045a9-3321-4f65-aa39-80b256cbac6f
La Sabrosa,40030053.0,Comida Mexicana,Rua Augusta,Consolação,1304001,-23.556554,-46.658594,Full Service,Normal,Não Exclusivo,True,4.328569889068604,69,392485ca-1784-42c2-8e10-53fa11c91400,https://www.ifood.com.br/delivery/sao-paulo-sp/la-sabrosa-consolacao/392485ca-1784-42c2-8e10-53fa11c91400
Losdos Taqueria,994251653.0,Comida Mexicana,Rua Guaicuí,Pinheiros,5427030,-23.566059,-46.695829,Full Service,Normal,Exclusivo,False,4.607840061187744,51,0f26ff42-1309-4f46-991c-d98484e360d2,https://www.ifood.com.br/delivery/sao-paulo-sp/losdos-taqueria-pinheiros/0f26ff42-1309-4f46-991c-d98484e360d2
La Buena Onda Moema,40032665.0,Comida Mexicana,Alameda dos Arapanés,Moema,4524002,-23.607152,-46.667749,Full Service,Normal,Não Exclusivo,True,4.553989887237549,212,3e292e71-a81f-4cee-bd06-38a25ac825dd,https://www.ifood.com.br/delivery/sao-paulo-sp/la-buena-onda-moema-moema/3e292e71-a81f-4cee-bd06-38a25ac825dd
Los Burritos Mexicanos,970383412.0,Comida Mexicana,avenida senador casemiro da rocha,Mirandópolis,4047002,-23.610183,-46.643618,Entrega+,Normal,Não Exclusivo,False,2.9230799674987797,13,fdd25ad7-c41b-4b48-ad8a-fc89f94a460f,https://www.ifood.com.br/delivery/sao-paulo-sp/los-burritos-mexicanos-mirandopolis/fdd25ad7-c41b-4b48-ad8a-fc89f94a460f
La Pimenta Dorada,40032665.0,Comida Mexicana,Avenida Padre Antônio José dos Santos,Cidade Monções,4563002,-23.606476,-46.691616,Full Service,Normal,Não Exclusivo,True,4.099999904632568,60,c09ca6d3-f2ae-486e-8d3f-d5fd88a606a8,https://www.ifood.com.br/delivery/sao-paulo-sp/la-pimenta-dorada-cidade-moncoes/c09ca6d3-f2ae-486e-8d3f-d5fd88a606a8
Pacifico The Taco Shop,23858075.0,Comida Mexicana,R JESUINO ARRUDA,ITAIM BIBI,4532081,-23.582313,-46.675599,Marketplace,Normal,Não Exclusivo,True,4.307690143585205,77,20324aa3-456d-4154-9ae6-90ddb64a0d27,https://www.ifood.com.br/delivery/sao-paulo-sp/pacifico-the-taco-shop-itaim-bibi/20324aa3-456d-4154-9ae6-90ddb64a0d27
Los Tacos Hermanos,40030053.0,Comida Mexicana,RUA EUGENIO DE MEDEIROS,PINHEIROS,5425000,-23.569738,-46.700303,Full Service,Normal,Não Exclusivo,False,4.5,36,d6e30a57-b02d-4245-bd22-1959dfe8197c,https://www.ifood.com.br/delivery/sao-paulo-sp/los-tacos-hermanos-pinheiros/d6e30a57-b02d-4245-bd22-1959dfe8197c
The Taco Shop,23858075.0,Comida Mexicana,Rua Ferreira de Araújo,Pinheiros,5428000,-23.561001,-46.697842,Marketplace,Normal,Não Exclusivo,False,4.454549789428711,43,fbb38ea9-9fd5-46b1-937c-9eae70f05ebf,https://www.ifood.com.br/delivery/sao-paulo-sp/the-taco-shop-pinheiros/fbb38ea9-9fd5-46b1-937c-9eae70f05ebf
Don Pancho,40030053.0,Comida Mexicana,R JOAQUIM TAVORA,VILA MARIANA,4015002,-23.587433,-46.644853,Full Service,City Key Account,Não Exclusivo,True,4.582729816436768,139,8f11d4fc-5d14-41e0-88af-0b232e18a7e6,https://www.ifood.com.br/delivery/sao-paulo-sp/don-pancho-vila-mariana/8f11d4fc-5d14-41e0-88af-0b232e18a7e6
El Compadre,984367004.0,Comida Mexicana,av senador casemiro da rocha,Mirandópolis,4047002,-23.610144,-46.643624,Entrega+,Normal,Não Exclusivo,False,3.769229888916016,13,b4e654a3-baa9-4a5e-baa3-4c1c47457b50,https://www.ifood.com.br/delivery/sao-paulo-sp/el-compadre-mirandopolis/b4e654a3-baa9-4a5e-baa3-4c1c47457b50
Mexicaníssimo Restaurante,40030053.0,Comida Mexicana,Avenida Padre Antônio José dos Santos,Cidade Monções ,4563013,-23.606461,-46.691616,Full Service,City Key Account,Não Exclusivo,True,4.601109981536865,359,cc006d82-8e09-4c16-a6b2-8ff36c5c2059,https://www.ifood.com.br/delivery/sao-paulo-sp/mexicanissimo-restaurante-cidade-moncoes/cc006d82-8e09-4c16-a6b2-8ff36c5c2059
Mexicato Santana,22393684.0,Comida Mexicana,Rua Policarpo Bernardes,Imirim,2470020,-23.483651,-46.647708,Marketplace,Normal,Não Exclusivo,True,4.652170181274414,69,8a1b6bf9-eb7e-45db-9db3-a1886c3d7347,https://www.ifood.com.br/delivery/sao-paulo-sp/mexicato-santana-imirim/8a1b6bf9-eb7e-45db-9db3-a1886c3d7347
Señor Burrito,40030053.0,Comida Mexicana,Avenida Padre Antônio José dos Santos,Cidade Monções ,4563013,-23.606461,-46.691616,Full Service,Normal,Não Exclusivo,True,4.713379859924316,156,e9eabda9-047e-45e1-bb65-08ad14af9332,https://www.ifood.com.br/delivery/sao-paulo-sp/senor-burrito-cidade-moncoes/e9eabda9-047e-45e1-bb65-08ad14af9332
Si Señor Pinheiros,40030053.0,Comida Mexicana,R DOS PINHEIROS,PINHEIROS,5422011,-23.566288,-46.684349,Full Service,Key Account,Não Exclusivo,False,4.3972601890563965,292,efabc53a-9a4f-4a01-ba1a-ae2d5d28c89c,https://www.ifood.com.br/delivery/sao-paulo-sp/si-senor-pinheiros-pinheiros/efabc53a-9a4f-4a01-ba1a-ae2d5d28c89c
El Tambo,984315991.0,Comida Mexicana,Alameda Dino Bueno,Campos Elíseos,1217000,-23.529061,-46.645154,Entrega+,Normal,Não Exclusivo,False,3.6405200958251953,459,757493a8-a598-4bb7-81a1-e3c3ef4b693f,https://www.ifood.com.br/delivery/sao-paulo-sp/el-tambo-campos-eliseos/757493a8-a598-4bb7-81a1-e3c3ef4b693f
Chipotle,501633240.0,Comida Mexicana,Avenida Nova Independência,Brooklin Paulista,4570001,-23.60569,-46.691897,Entrega+,Normal,Não Exclusivo,True,4.431089878082275,340,feb08221-1f0f-4aba-9219-5cd2a6731951,https://www.ifood.com.br/delivery/sao-paulo-sp/chipotle-brooklin-paulista/feb08221-1f0f-4aba-9219-5cd2a6731951
Lupe Bar y Taqueria,40030053.0,Comida Mexicana,Rua Cunha Gago,Pinheiros,5421001,-23.563528,-46.693243,Full Service,Normal,Não Exclusivo,False,4.333330154418945,30,0281a977-d3b3-4a56-9096-d520cef10591,https://www.ifood.com.br/delivery/sao-paulo-sp/lupe-bar-y-taqueria-pinheiros/0281a977-d3b3-4a56-9096-d520cef10591
Nacho Libre - Burritos e Tacos,23622867.0,Comida Mexicana,Rua Teresina,Vila Bertioga,3185010,-23.561952,-46.583248,Marketplace,Normal,Não Exclusivo,False,4.25,82,896e5620-2c81-4910-b8f0-5d4fe66e737d,https://www.ifood.com.br/delivery/sao-paulo-sp/nacho-libre---burritos-e-tacos-vila-bertioga/896e5620-2c81-4910-b8f0-5d4fe66e737d
